nombre,archivo,total_horas,fecha_inicio,fecha_fin,completitud,pct_vol_cero_usd,pct_vol_bajo_usd,pct_precio_estatico,volumen_promedio_usd,volumen_mediano_usd,spread_promedio_pct,retorno_horario_promedio,retorno_anualizado,volatilidad_anualizada,sharpe_ratio,curtosis,score_riesgo_retorno,calidad_riesgo,alto_riesgo,huecos_graves,huecos_leves,score_vol_cero,score_vol_bajo,score_precio_estatico,score_vol_promedio,score_completitud,puntaje_calidad_datos,puntaje_final,calidad,recomendado
PAXGUSD,PAXGUSD_1h.csv,44636,2020-10-31 04:00:00,2025-12-03 23:00:00,100.0,20.87104579263375,69.78223855184156,24.66394838247155,4684.310178008141,103.6866994566,0.28305491093066776,0.00023562766432236377,6.876275960531527,85.66127415528697,0.025745053663916353,112.16080501761301,2784.812001966025,BAJO_RIESGO,False,0,0,58.2579084147325,0.0,26.00815485258535,100,100.0,44.76610807420019,866.7798762417476,INACEPTABLE,False
BCHUSD,BCHUSD_1h.csv,44924,2020-10-19 04:00:00,2025-12-03 23:00:00,100.0,2.4574837503338975,61.49051731813729,2.5420710533345203,40459.11092401994,4337.9971609969,1.1395207024139304,0.00020447457690818453,4.995529999653476,161.68672818361767,0.011836328186795728,15.760995287807553,2026.8254837624015,ALTO_RIESGO,True,0,0,95.0850324993322,7.764224022794053,92.37378683999644,100,100.0,68.41064909625145,459.15456964726746,REGULAR,False
ETHUSD,ETHUSD_1h.csv,83888,2016-05-09 13:00:00,2025-12-03 23:00:00,99.99642393105339,3.0409593744039674,9.022744611863438,3.6405683768834636,908778.6447005651,258947.693961345,inf,0.0001404593331456761,2.4223838971373293,104.4431581950599,0.012587012386083963,38.59638666545313,1003.3224180636872,BAJO_RIESGO,False,3,0,93.91808125119206,86.46588308220484,89.0782948693496,100,99.99642393105339,79.26470414210402,356.482018318579,EXCELENTE,True
LINKUSD,LINKUSD_1h.csv,44636,2020-10-31 04:00:00,2025-12-03 23:00:00,100.0,0.4727126086566897,41.464288914777306,0.5040774262926786,73486.04066280361,15373.542346102106,1.4301827029336895,0.00012033015853934307,1.8691871720680102,138.33972816650544,0.008141035040263946,5.744010319042431,786.1729503772525,BAJO_RIESGO,False,0,0,99.05457478268661,37.803566627834044,98.48776772112197,100,100.0,75.13173223407115,288.4440976770255,EXCELENTE,True
BTCUSD,BTCUSD_1h.csv,89024,2015-10-08 13:00:00,2025-12-03 23:00:00,99.99663023577116,1.3288551401869158,6.065780014378145,2.1735711718188355,1515616.032712952,564786.6609267355,inf,0.000103715222804612,1.4805944772826165,74.70463313692768,0.012994124406193934,36.50052922006382,636.5761363619365,BAJO_RIESGO,False,3,0,97.34228971962617,90.90132997843278,93.4792864845435,100,99.99663023577116,81.66629224715727,248.13924548159102,EXCELENTE,True
LTCUSD,LTCUSD_1h.csv,62527,2018-10-16 13:00:00,2025-12-03 23:00:00,99.99360317282627,0.6765077486525821,40.651238664896766,0.7452780398867689,73650.67730077555,15004.0236906,inf,0.00010351412083208063,1.4762288287432859,126.14819507367355,0.007680166052345333,16.596656708471755,629.3487446209765,BAJO_RIESGO,False,4,0,98.64698450269483,39.02314200265485,97.76416588033969,100,99.99360317282627,75.0674109194225,241.3518110298887,EXCELENTE,True
SOLUSD,SOLUSD_1h.csv,33572,2022-02-04 04:00:00,2025-12-03 23:00:00,100.0,2.0612415107827955,17.294173716192066,2.0701775288931255,162653.8904236349,61952.42186691,inf,8.613053431933169e-05,1.1264862924081074,113.08854828034724,0.007128375443600956,17.62025737174579,492.85782379326594,BAJO_RIESGO,False,0,0,95.87751697843441,74.0587394257119,93.78946741332062,100,100.0,78.8360836411295,203.04260568677043,EXCELENTE,True
SHIBUSD,SHIBUSD_1h.csv,33572,2022-02-04 04:00:00,2025-12-03 23:00:00,100.0,0.6255212677231026,70.97581317764804,0.7208387942332897,12430.595419364869,3664.8760120830875,1.2870335920341092,0.00010272662545848765,1.4592071988085769,184.85872289103247,0.005201099074422525,11.801574144383597,607.3244755839293,ALTO_RIESGO,True,0,0,98.7489574645538,0.0,97.83748361730014,100,100.0,69.25473608959848,161.4729605565284,REGULAR,False
DOGEUSD,DOGEUSD_1h.csv,40164,2021-05-05 12:00:00,2025-12-03 23:00:00,100.0,0.35106065132954883,39.88397569963151,0.38093815357036154,95675.79056810318,16490.621574766847,inf,5.018767787806563e-05,0.5521375202178089,140.44702863663525,0.003344541579289542,15.504725768232746,255.96853661201666,BAJO_RIESGO,False,0,0,99.2978786973409,40.174036450552734,98.85718553928892,100,100.0,75.62201224977592,129.72596955844813,EXCELENTE,True
USDCUSD,USDCUSD_1h.csv,33572,2022-02-04 04:00:00,2025-12-03 23:00:00,100.0,2.231025854879066,24.258310496842608,4.849279161205767,101551.44774897532,34076.107061253126,0.05181088074052031,4.654921872535713e-07,0.004086035785106468,9.139454776765914,0.0004766989124216862,1325.3476934883342,58.89257788101281,RIESGO_NEUTRAL,False,0,0,95.53794829024187,63.61253425473609,85.4521625163827,100,100.0,75.51679971404742,70.52953316413704,BUENA,True
DAIUSD,DAIUSD_1h.csv,33572,2022-02-04 04:00:00,2025-12-03 23:00:00,100.0,41.013344453711426,48.45704753961635,48.9485285356845,6501.058892335448,9.75337387542,0.07280908203973654,5.662295054809362e-06,0.0508523158235632,47.0900876363407,0.0011254210928992431,128.64356918676967,66.21390003852308,RIESGO_NEUTRAL,False,0,0,17.97331109257715,27.314428690575483,0.0,100,100.0,33.59049207673061,43.37751446526835,INACEPTABLE,False
